screen_names,texts,dates,langs
inmxrtalsxnd,caballo regalado mires diente egipcio pregunto hamburguesa distraido abrien,2021-04-27 23:25:11,es
NoemiCastro05,antojooo hamburguesa salasa bbq,2021-04-27 23:25:08,es
zaa_roula,quiero hamburguesa,2021-04-27 23:25:02,es
vxnnessa_,queria comer autocontrol obvio dispuesta pagar q hamburguesa puente,2021-04-27 23:24:45,es
LuisaFe96603473,antojo tambien hamburguesa mark marktuan got,2021-04-27 23:24:38,es
KassOficial,kass panaderia reposteria podras disfrutar distintos sabores productos estan hechos pes,2021-04-27 23:24:13,es
HugoReyesm,kar plus mcdonald s neta comes mejor hamburguesa precio,2021-04-27 23:24:10,es
megb2w,dioooooos antojo hamburguesa johnny rockets,2021-04-27 23:24:04,es
Albanyymaldonad,delivery hamburguesa nota diciendo cosas lindas,2021-04-27 23:24:03,es
Alejand22038567,hoy voy pedir alta hamburguesa guardo plata xd,2021-04-27 23:23:53,es
trujillo_oo,pongo ojo pongo veci regaleme hamburguesa doble carne malteada,2021-04-27 23:23:01,es
HobixMasita,jm ambas mas hamburguesa xd,2021-04-27 23:22:10,es
duarryst,pizza hamburguesa,2021-04-27 23:22:09,es
iTBSLT91,antoje buena hamburguesa,2021-04-27 23:22:07,es
whosmarchlmao,lista cosas dan miedo personas dan grandes mordidas refiero abusivos cuan,2021-04-27 23:21:46,es
jadesvulnerable,unas ganas comer hamburguesa,2021-04-27 23:21:07,es
iPRNCE94,amigas comerw pizza lugar d hamburguesa decepcionada misma lt i vote louies for bestfanarmy at the iheartawards,2021-04-27 23:21:00,es
noodleganger,vez pana vegetariano pidio hamburguesa vegetariana u acompañamiento dieron papas pollo jajsjsjsks,2021-04-27 23:20:56,es
tango081975,usa marcar comes mostaza pepinillo cilantro pizza piña,2021-04-27 23:20:45,es
Vere_lalia,quiero semana hamburguesa maldito feo lomito sobrevalorado,2021-04-27 23:20:43,es
milejovanovich,si mas ganas comer hamburguesa morelia torta floripa,2021-04-27 23:20:39,es
95blnkpov,papas fritas alguna hamburguesa vegetariana,2021-04-27 23:20:38,es
NadiaaOrtega,hola alguien regala hamburguesa papa frita haria feliz,2021-04-27 23:20:37,es
VeroBobadilha,despues gym quiero hamburguesa,2021-04-27 23:19:42,es
